Gyan Ganga Institute Of Tec..,+(91)-9152583515,4.1,132,"Tilwara Ghat Road Near Bargi Hills Colony, Jabalpur - 482001 (Also serves RAIPUR-CHHATTISGARH)",
Dr. Vijay Ayurvedic Medical..,+(91)-7522803033,4.2,229,"Kaithi, Varanasi - 221116, Near Markandey Mahadev Temple, Bhandaha Kala, NH 29 (Also serves RAIPUR-CHHATTISGARH)",
Swami Vivekanand University,+(91)-9152560979,4.0,261,"City Office 10, University- Narsinghpur Road, Civil Line, Makronia, Sagar - 470004, Sironja (Also serves RAIPUR-CHHATTISGARH)",
SAHARSH EDUCATION Pvt. Ltd,+(91)-9152802248,3.7,10,"311, The Mark Building, Saket Square, Old Palasia, Indore - 452001 (Also serves RAIPUR-CHHATTISGARH)",
Indian Career Consultants,+(91)-9314282444,4.3,160,"20-21, 3rd Floor, L.B.S Market, Bhilwara Ho, Bhilwara - 311001, Near Gol Pyau Choraha (Also serves RAIPUR-CHHATTISGARH)",
School Of Aeronautics,+(91)-9152799133,3.7,37,"I-04, Ricco Industrial Area, Neemrana, Alwar - 301701 (Also serves RAIPUR-CHHATTISGARH)",
IES Group Of Institutions,+(91)-9152833663,4.2,319,"IES Campus, Kalkheda, Ratibad Main Road, Ratibad, Bhopal - 462002, Near Axis Bank Atm (Also serves RAIPUR-CHHATTISGARH)",
LNCT Group of college,+(91)-9152417796,4.3,210,"LNCT CAMPUS, Raisen Road, Bhopal - 462022, Kalchuri Nagar (Also serves RAIPUR-CHHATTISGARH)",
Lnct University Bhopal,+(91)-9152172956,3.8,122,"LNCTU Bhopal, Kolar Road, Bhopal - 462042, Ln Medical College & Research Centre (Also serves RAIPUR-CHHATTISGARH)",
EDUCRAFTER INSTITUTE,+(91)-8871241308,3.1,16,"298, 2nd Floor Orbit Mall, A B Road, Vijay Nagar, Indore - 452010, Orbit Mall (Also serves RAIPUR-CHHATTISGARH)",
Engineering & Schools Proje..,+(91)-9152782445,3.8,2,"Near Bus Stand, Chandigarh, Ambala - 133001 (Also serves RAIPUR-CHHATTISGARH)",
